City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Pasni,PK,79.14,clear sky,25.2631,63.471,Kashmiri Hotal
572,Nirmali,IN,79.52,clear sky,26.3167,86.5833,Baidyanath Sharma Lodge
574,Lar,IN,84.52,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
578,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
579,Garissa,KE,79.41,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
580,Bilma,NE,84.51,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
584,Larap,PH,83.91,broken clouds,14.299,122.6504,Montemayor Cove
587,Manoharpur,IN,77.07,clear sky,27.3,75.95,कैथल हरियाणा होटल
588,Tayu,ID,82.4,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
589,Nizwa,OM,79.59,overcast clouds,22.9333,57.5333,Orient Apartments
590,Ternate,ID,84.33,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
593,Choix,MX,86.25,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
594,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
595,Sambava,MG,77.0,moderate rain,-14.2667,50.1667,Melrose
597,Hobyo,SO,81.34,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
601,Springdale,US,73.13,overcast clouds,36.1867,-94.1288,Springdale Inn
614,Cururupu,BR,74.71,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
615,Prachuap Khiri Khan,TH,83.7,few clouds,12.2167,99.75,ผกากรองรีสอร์ท
617,Pouembout,NC,80.4,scattered clouds,-21.1333,164.9,Camping de Tipenga
619,Vilhena,BR,70.03,overcast clouds,-12.7406,-60.1458,Hotel Mirage
620,Matara,LK,78.82,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
622,Labuhan,ID,81.99,broken clouds,-6.8844,112.2051,DoubleFAG
625,Puerto Escondido,MX,82.44,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
628,Mecca,SA,80.11,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
629,Pocinhos,BR,73.69,light rain,-7.0767,-36.0611,Kemelly
630,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
633,Bowen,AU,80.1,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
634,Jalu,LY,76.32,overcast clouds,29.0331,21.5482,صاحبة الفخامة
636,Bajil,YE,82.76,clear sky,15.0584,43.2851,فندق حضرموت
645,Jawar,IN,78.13,clear sky,23.0,76.5,Sree balaji
648,Dicabisagan,PH,79.29,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
651,Awjilah,LY,76.82,overcast clouds,29.1081,21.2869,المنزل
654,Bossangoa,CF,73.18,few clouds,6.4926,17.4552,LA PERLE DE BOSTON
656,Puerto El Triunfo,SV,83.34,overcast clouds,13.2833,-88.55,Hotel Jardin
661,Bontang,ID,81.03,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
662,Itarema,BR,77.97,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
667,Puerto Maldonado,PE,70.2,clear sky,-12.6,-69.1833,Wasai Hotel
668,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
670,Basco,PH,76.64,broken clouds,20.4487,121.9702,Nathaniel's Lodge
672,Lae,PG,84.87,few clouds,-6.7221,146.9847,Phils Hotel
675,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
676,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
679,Moundou,TD,82.53,broken clouds,8.5667,16.0833,Planete Life
684,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
685,Jaru,BR,73.27,overcast clouds,-10.4389,-62.4664,Hotel Paraná
691,New Amsterdam,GY,75.97,overcast clouds,6.25,-57.5167,Little Rock Suites
694,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
